Instance,MachineID,MachineCategory,MachineCategorySeed
instances3/FMK09.txt,8,SM,10022
instances3/FMK09.txt,9,AM,10022
instances3/FMK09.txt,10,NM,10022
instances3/FMK10.txt,1,SM,10023
instances3/FMK10.txt,2,AM,10023
instances3/FMK10.txt,3,SM,10023
instances3/FMK10.txt,4,NM,10023
instances3/FMK10.txt,5,SM,10023
instances3/FMK10.txt,6,AM,10023
instances3/FMK10.txt,7,SM,10023
instances3/FMK10.txt,8,SM,10023
instances3/FMK10.txt,9,AM,10023
instances3/FMK10.txt,10,AM,10023
instances3/FMK10.txt,11,SM,10023
instances3/FMK10.txt,12,AM,10023
instances3/FMK10.txt,13,NM,10023
instances3/FMK10.txt,14,SM,10023
instances3/FMK10.txt,15,NM,10023
